instrument,chord,fingering
baritone_ukulele,A,"[2,2,2,0]"
guitar,A,"[x,0,2,2,2,0]"
mandolin,A,"[2,2,0,0]"
ukulele,A,"[2,1,0,0]"
baritone_ukulele,A#,"[3,3,3,1]"
guitar,A#,"[x,1,3,3,3,1]"
mandolin,A#,"[3,3,5,1]"
ukulele,A#,"[3,2,1,1]"
baritone_ukulele,A#7,"[3,1,4,1]"
guitar,A#7,"[x,1,3,1,4,1]"
mandolin,A#7,"[7,6,8,6]"
ukulele,A#7,"[1,2,1,1]"
baritone_ukulele,A#m,"[3,3,2,1]"
guitar,A#m,"[x,1,3,3,2,1]"
mandolin,A#m,"[3,3,4,6]"
ukulele,A#m,"[3,1,1,1]"
baritone_ukulele,A#m7,"[3,1,2,1]"
guitar,A#m7,"[x,1,3,1,2,1]"
mandolin,A#m7,"[1,3,4,1]"
ukulele,A#m7,"[1,1,1,1]"
baritone_ukulele,A7,"[2,0,2,0]"
guitar,A7,"[x,0,2,0,2,0]"
mandolin,A7,"[6,5,0,0]"
ukulele,A7,"[0,1,0,0]"
baritone_ukulele,Am,"[2,2,1,0]"
guitar,Am,"[x,0,2,2,1,0]"
mandolin,Am,"[2,2,0,0]"
ukulele,Am,"[2,0,0,0]"
baritone_ukulele,Am7,"[2,0,1,0]"
guitar,Am7,"[x,0,2,0,1,0]"
mandolin,Am7,"[0,2,3,0]"
ukulele,Am7,"[0,0,0,0]"
baritone_ukulele,B,"[4,4,4,2]"
guitar,B,"[x,2,4,4,4,2]"
mandolin,B,"[4,4,2,2]"
ukulele,B,"[4,3,2,2]"
baritone_ukulele,B7,"[1,2,0,2]"
guitar,B7,"[x,2,1,2,0,2]"
mandolin,B7,"[2,1,2,x]"
ukulele,B7,"[2,3,2,2]"
baritone_ukulele,Bm,"[4,4,3,2]"
guitar,Bm,"[x,2,4,4,3,2]"
mandolin,Bm,"[4,4,5,2]"
ukulele,Bm,"[4,2,2,2]"
baritone_ukulele,Bm7,"[0,2,0,2]"
guitar,Bm7,"[x,0,0,2,0,2]"
mandolin,Bm7,"[4,0,0,2]"
ukulele,Bm7,"[2,2,2,2]"
baritone_ukulele,C,"[2,0,1,0]"
guitar,C,"[x,3,2,0,1,0]"
mandolin,C,"[0,2,3,0]"
ukulele,C,"[0,0,0,3]"
baritone_ukulele,C#,"[3,1,2,1]"
guitar,C#,"[x,4,3,1,2,1]"
mandolin,C#,"[1,3,4,x]"
ukulele,C#,"[1,1,1,4]"
baritone_ukulele,C#7,"[3,4,2,4]"
guitar,C#7,"[x,x,3,4,2,4]"
mandolin,C#7,"[4,3,4,x]"
ukulele,C#7,"[1,1,1,2]"
baritone_ukulele,C#m,"[6,6,5,4]"
guitar,C#m,"[x,4,6,6,5,4]"
mandolin,C#m,"[6,2,4,x]"
ukulele,C#m,"[1,1,0,4]"
baritone_ukulele,C#m7,"[2,4,2,4]"
guitar,C#m7,"[x,2,2,4,2,4]"
mandolin,C#m7,"[6,6,7,7]"
ukulele,C#m7,"[1,1,0,2]"
baritone_ukulele,C7,"[2,3,1,0]"
guitar,C7,"[x,3,2,3,1,0]"
mandolin,C7,"[3,2,3,x]"
ukulele,C7,"[0,0,0,1]"
baritone_ukulele,Cm,"[1,0,1,3]"
guitar,Cm,"[x,3,1,0,1,3]"
mandolin,Cm,"[0,1,3,x]"
ukulele,Cm,"[0,3,3,3]"
baritone_ukulele,Cm7,"[1,3,1,3]"
guitar,Cm7,"[x,1,1,3,1,3]"
mandolin,Cm7,"[3,1,3,x]"
ukulele,Cm7,"[3,3,3,3]"
baritone_ukulele,D,"[0,2,3,2]"
guitar,D,"[x,x,0,2,3,2]"
mandolin,D,"[2,0,0,2]"
ukulele,D,"[2,2,2,0]"
baritone_ukulele,D#,"[1,3,4,3]"
guitar,D#,"[x,x,1,3,4,3]"
mandolin,D#,"[3,5,6,x]"
ukulele,D#,"[0,3,3,1]"
baritone_ukulele,D#7,"[1,3,2,3]"
guitar,D#7,"[x,x,1,3,2,3]"
mandolin,D#7,"[6,5,6,x]"
ukulele,D#7,"[3,3,3,4]"
baritone_ukulele,D#m,"[1,3,4,2]"
guitar,D#m,"[x,x,1,3,4,2]"
mandolin,D#m,"[3,4,1,2]"
ukulele,D#m,"[3,3,2,1]"
baritone_ukulele,D#m7,"[1,3,2,2]"
guitar,D#m7,"[x,x,1,3,2,2]"
mandolin,D#m7,"[6,4,6,x]"
ukulele,D#m7,"[3,3,2,4]"
baritone_ukulele,D7,"[0,2,1,2]"
